Channel_Name,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,Fb49,Fb50,Fb51,Fb52,Fb53,Fb54,Fb55,Fb56,Fb57,Fb58,Fb59,Fb60,Fb61,Fb62,Fb63,Fb64,MKR1+,vT1,vT2,vT3,vT4,vT5,vT6,vT7,vT8,sT1,sT2,sT3,sT4,sT5,sT6,sT7,sT8,T01,T02,T03,T04,T05,T06,T07,T08,ECG+,R1+,R2+,R3+,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,thor+,abdo+,MKR2+
P01,0.0,0.011000000000000062,0.019519221295943107,0.03003331483536246,0.04060788100849388,0.05172040216394297,0.06220932405998312,0.07201388754955529,0.010770329614269138,0.01562049935181338,0.022715633383201195,0.030870698080866264,0.042731721238442974,0.05316013544000803,0.06354525946126902,0.07212489168102781,0.02163330765278403,0.023685438564654094,0.028913664589601974,0.03685105154537659,0.045000000000000005,0.05566866263886712,0.06495382975621991,0.07487322618933953,0.03165438358268892,0.03281767816284401,0.03811823710509183,0.04433959855479077,0.051584881506115725,0.06031583540000089,0.07003570517957251,0.07826876771739798,0.04060788100849395,0.04166533331199946,0.046690470119715076,0.05046781152378222,0.05678908345800277,0.06613622305514584,0.07563729238940274,0.08325863318599458,0.05081338406365008,0.05239274758971902,0.055299186250794025,0.059824744044584155,0.06519202405202654,0.07267736924242653,0.08058535847162315,0.08705170877128146,0.15071496276083537,0.1432375649052999,0.1348517704741024,0.12658593918757327,0.11627983488120369,0.10754068997360951,0.09924716620639605,0.09158056562393574,0.1472175261305528,0.1396030085635693,0.132113587491976,0.12298373876248841,0.1132872455309952,0.10295630140987001,0.09576011695899289,0.08778382538941897,,0.13100763336538826,0.12675567048459802,0.12258466462000861,0.11850316451470819,0.116400171821179,0.11857908753233005,0.11706835610018615,0.10592450141492286,0.10434557968596461,0.10279105019407082,0.10192644406629708,0.09886354231970443,0.09665402216152201,0.09443516294262423,0.09293546147730689,0.08820997676000143,0.11209371079592285,0.10393267051317405,0.09437160589923219,0.086,0.11017713011328617,0.10182828683622244,0.09254188241007416,0.08336666000266531,,,,,0.14550944986494865,0.13928747251637533,0.13147623359375643,0.12281693694275234,0.11343720729989787,0.10532805893967667,0.09630680142129114,0.08949860334105782,0.14450259513240585,0.13609188072769074,0.12800781226159597,0.11816936997377958,0.1094988584415381,0.10084145972763388,0.09270922284217469,0.085901105930017,,,
P02,0.011000000000000062,0.0,0.008602325267042547,0.019209372712298545,0.02983286778035251,0.041109609582188844,0.051816985632126375,0.061798058221921415,0.014317821063276349,0.010440306508910452,0.0131529464379659,0.020346989949375702,0.032015621187164146,0.042485291572495906,0.053037722424704406,0.06186275131288608,0.023430749027719966,0.02034698994937577,0.022022715545545173,0.02773084924772401,0.035128336140500496,0.04545327270945395,0.054827000647491096,0.06487680633323428,0.032939338184001195,0.030495901363953807,0.03280243893371331,0.037134889255254204,0.04280186911806525,0.050685303589896646,0.06024948132556817,0.06847627326307985,0.04168932717135157,0.0398622628559895,0.04262628297189418,0.044564559910314314,0.04925444142409892,0.05743692192309743,0.0664529909033445,0.07392563831310475,0.05158488150611569,0.050813384063649956,0.05177837386399841,0.054680892457969185,0.05860887304837033,0.06487680633323428,0.07217340230306443,0.07836453279386016,0.14235870187663266,0.13457340004622,0.12592855117089202,0.11749468073066106,0.1072846680565307,0.09931767214348099,0.09002777349240611,0.08235289915965305,0.13904675472660258,0.13111826722467,0.12330044606569747,0.11392980294900881,0.10420652570736623,0.09396275858019486,0.0863075894692928,0.07818567643756742,,0.1265780391695178,0.12164703037887928,0.11678184790454371,0.11199107107265284,0.1091512711790384,0.11071585252347552,0.10836973747315243,0.0967729300992792,0.09800510190801286,0.09646242791885339,0.09532051195833971,0.09163514609580752,0.08869611039949828,0.0858079250419213,0.08367795408588803,0.07839642849007845,0.10300485425454461,0.09459915433025805,0.08477617589865673,0.07619055059520168,0.101064335944981,0.09237965143904787,0.08278284846512582,0.07335529974037312,,,,,0.13718600511714005,0.1308892661756493,0.12308127396155749,0.1144071676076284,0.10509519494249002,0.09714422267947785,0.0883742043811427,0.08185963596303117,0.13590437814875564,0.1273342059306924,0.11924344845734704,0.10936635680134901,0.1007620960480675,0.09207605551933673,0.08417838202293974,0.07749838707999016,,,
P03,0.019519221295943107,0.008602325267042547,0.0,0.01063014581273473,0.0212602916254693,0.03264965543462901,0.04348562981031779,0.05356304696336831,0.02165640782770766,0.014177446878757707,0.009848857801796144,0.013341664064126296,0.024062418831031926,0.03433656942677878,0.044844174649557346,0.053823786563191554,0.028861739379323622,0.022803508501982758,0.02071231517720798,0.022869193252058544,0.0286705423736629,0.03813135192987523,0.047265209192385894,0.057280013966478735,0.03724244889907215,0.032526911934581196,0.03203123475609384,0.03407345007480164,0.0376563407675254,0.04421538193886829,0.05329165037789691,0.061261733569986404,0.04532107677449856,0.0415331193145904,0.04234383071948026,0.04249705872175155,0.045343136195018535,0.05197114584074513,0.06021627686929838,0.06729784543356494,0.05465345368775884,0.05217278984298233,0.05158488150611572,0.0529716905525961,0.05539855593785816,0.06024118192731613,0.06671581521648372,0.07244998274671981,0.13586022228746722,0.1278436545159751,0.11902940813093207,0.11051244273836316,0.10044899203078148,0.09317725044236924,0.08320456718233679,0.07567033764957046,0.13261221663180206,0.12444275792507975,0.11638298844762493,0.10683632341109459,0.09716480844420988,0.08704596486914257,0.07912648102879338,0.07101408311032396,,0.12292273996295397,0.11744786077234443,0.1120446339634344,0.10672394295564608,0.10331505214633538,0.10439348638684312,0.10143963722332608,0.08962700485902672,0.09278469701410895,0.09114274518577986,0.08969949832635632,0.08548099203916623,0.08195730595865142,0.07856844150166147,0.07601315675591956,0.07044146506142529,0.0957601169589929,0.08724104538575864,0.07728518616138541,0.06862215385719106,0.09366963221877195,0.08478207357690656,0.07502666192761076,0.06544463308782471,,,,,0.13089690599857584,0.12463546846704593,0.11694015563526498,0.1083558950865157,0.09922197337283713,0.09153687781435414,0.08312640976248162,0.0770129859179606,0.12932130528261768,0.12070625501605126,0.11269871339105873,0.10290286682109494,0.09446163242290491,0.08584870412533901,0.07831985699680509,0.07193052203341778,,,
P04,0.03003331483536246,0.019209372712298545,0.01063014581273473,0.0,0.010630145812734566,0.022113344387495893,0.03307567081708236,0.043243496620879215,0.031591137997862624,0.022847319317591652,0.01449137674618944,0.00953939201416933,0.015165750888103008,0.024535688292770495,0.034727510708370594,0.04384062043356585,0.03722902093797261,0.029274562336608922,0.023790754506740647,0.020639767440550252,0.022693611435820358,0.029883105594967777,0.03822302970723269,0.0479999999999999,0.044204072210600714,0.03766961640367472,0.03419064199455741,0.03307567081708242,0.03330165161069328,0.03733630940518885,0.045265881191025,0.05261178575186351,0.05125426811495791,0.045628938186199335,0.04424929377967516,0.04220189569201835,0.042391036788453226,0.04641120554348909,0.05322593352868496,0.05951470406546592,0.05971599450733447,0.055452682532047076,0.053141321022345665,0.05262128846769143,0.052971690552596054,0.05564171097297415,0.060745370193949676,0.06566582063752792,0.12759702190882033,0.11931890043073637,0.1103313192162587,0.1017546067753199,0.09192932067626726,0.08558621384311835,0.07487322618933942,0.06765352910233129,0.1243985530462472,0.11595257651298646,0.10761970079869196,0.09788258272031843,0.08832893070789424,0.07842193570679051,0.07025667228100108,0.06227358990776096,,0.11815667564720997,0.11202231920470128,0.10596697598780473,0.10000499987500616,0.09589056262218917,0.09634832639957988,0.09265527507918792,0.08065977932030303,0.08619744775803971,0.08443932733033813,0.08262566187329447,0.07775602870517494,0.07349829930005175,0.06946941773183354,0.06635510530471629,0.06042350536008308,0.08659676668328896,0.07798717843338086,0.06792643079096668,0.059245252974394404,0.08429116205154598,0.07518643494673746,0.06528399497579776,0.055551777649324494,,,,,0.12298373876248835,0.11682893477217011,0.10935264057168431,0.10096534058774813,0.09216289925995158,0.08493526947034422,0.07712976079309455,0.07167984374982962,0.12101652779682608,0.11240551587889261,0.10456576877735839,0.09496315074806638,0.08682165628459286,0.07840280607223178,0.07150524456289892,0.06567343450741699,,,
P05,0.04060788100849388,0.02983286778035251,0.0212602916254693,0.010630145812734566,0.0,0.01174734012447073,0.02286919325205854,0.033120990323358385,0.04186884283091657,0.032695565448543504,0.023430749027719907,0.015165750888103013,0.0103440804327886,0.015842979517754856,0.025039968051097834,0.03424908757908741,0.046529560496527365,0.03768288736283354,0.03047950130825634,0.02355843797877949,0.02083266665599966,0.02362202362203543,0.030232432915661946,0.03940812099047606,0.052411830725514634,0.04478839135311735,0.03921734310225506,0.03539774004085572,0.03203123475609384,0.03254228019054596,0.038522720568516446,0.04482186966202991,0.05853204250664747,0.051623637996561215,0.04846648326421054,0.044519658579104136,0.042,0.04281354925721529,0.04760252094164762,0.052735187493740794,0.06611353870426238,0.06044832503882965,0.05668333088307355,0.05438749856354858,0.052621288467691485,0.05281098370604358,0.05616938667993447,0.060008332754709987,0.11970797801316334,0.11115754585272203,0.102,0.09338629449764027,0.08389278872465739,0.078701969479804,0.06719374970932934,0.060448325038829645,0.11657615536635269,0.10784247771634328,0.09922197337283711,0.08929725639682329,0.07993122043357026,0.07034912934784623,0.06194352266379431,0.0542125446737192,,0.11418406193510545,0.10737783756436893,0.10064790112068905,0.09401063769595439,0.08911789943664516,0.0888481851249647,0.08429709366283039,0.07214568594171102,0.08047981113297917,0.07860661549767932,0.07638062581571324,0.07078841713161836,0.06567343450741707,0.0608687111741328,0.057043842787806644,0.050655700567655754,0.07780745465570764,0.06913031173081748,0.059,0.050368641037852116,0.07524626236564842,0.06590902821313632,0.05586591089385368,0.04598912915026767,,,,,0.11550757550914138,0.10949885844153809,0.10230835742987958,0.09419660291114536,0.08584287972802404,0.0792148975887743,0.07220803279414278,0.06760917097554148,0.11310172412478954,0.10452750834110607,0.09691749068150703,0.08759566199304622,0.07986864215698174,0.07176350047203663,0.06571149062378663,0.060646516800225224,,,
P06,0.05172040216394297,0.041109609582188844,0.03264965543462901,0.022113344387495893,0.01174734012447073,0.0,0.011180339887498947,0.021470910553583886,0.052640288753007344,0.04339354790749413,0.03386738844375213,0.024779023386727664,0.014456832294800962,0.009848857801796104,0.014317821063276332,0.02308679276123039,0.0563826214360418,0.047138094997570705,0.03902563260217572,0.03014962686336267,0.023537204591879645,0.01979898987322333,0.022,0.029546573405388313,0.06103277807866851,0.05289612462175273,0.045891175622334975,0.039912404086950216,0.03343650699460088,0.029614185789921695,0.03196873472629156,0.03612478373637684,0.06598484674529435,0.05819793810780581,0.0536935750346352,0.04824935232725927,0.043243496620879306,0.04026164427839479,0.04207136793592526,0.045199557519958036,0.07253275122315436,0.06571149062378663,0.06083584469702052,0.05695612346359256,0.053075418038862406,0.05040833264451424,0.051429563482495166,0.053637673327615536,0.10941663493271943,0.10068763578513501,0.09146584061823299,0.08291561975888499,0.07379701890998037,0.06967065379340143,0.057870545184921116,0.05196152422706632,0.10627323275406654,0.0973344748791506,0.08852683209061532,0.07849840762716145,0.06937578828380979,0.06015812497078012,0.05181698563212646,0.044687805943008654,,0.10753604047016051,0.10009995004993759,0.09273618495495704,0.08546344247688598,0.0798373346248483,0.07887965517166008,0.07360706487831178,0.06147357155721473,0.07246378405796926,0.07066116330771804,0.06822023160324216,0.06213694553162394,0.05632938842203064,0.05080354318352215,0.046151923036857306,0.03911521443121589,0.06679820356865894,0.05814636704042653,0.048093658625644194,0.03973663297261105,0.06406246951218786,0.05457105459856901,0.04448595283907045,0.03459768778401239,,,,,0.1057638879769461,0.1000299955013495,0.09327915093953203,0.08562125904236634,0.07794228634059949,0.07217340230306453,0.06627216610312356,0.0628410693734599,0.1029271587094485,0.09451983918733675,0.08725250712730266,0.07840280607223189,0.07128113354878694,0.06373382147651277,0.05888972745734183,0.05506359959174482,,,
P07,0.06220932405998312,0.051816985632126375,0.04348562981031779,0.03307567081708236,0.02286919325205854,0.011180339887498947,0.0,0.010295630140987002,0.0631347764706583,0.05401851534427788,0.04451965857910405,0.03534119409414452,0.02416609194718914,0.015231546211727816,0.00894427190999907,0.014071247279470291,0.06643794096749236,0.05715767664977294,0.04876474136094643,0.039293765408777,0.031128764832546764,0.02317326045251293,0.019209372712298545,0.022759613353482085,0.07028513356322232,0.06207253821135393,0.05441507144165108,0.047307504690059475,0.039153543900903684,0.03212475680841802,0.030116440692751194,0.030822070014844813,0.07435724578008508,0.06619667665374142,0.060975404877704587,0.05470831746635972,0.048114446894877635,0.04202380277890138,0.0405585995813465,0.04096339829652801,0.08009993757800314,0.07261542535852833,0.06712674578735364,0.06220128616033594,0.05676266378527351,0.051633322573702345,0.05019960159204453,0.05041825066382211,0.10008496390567366,0.091230477363653,0.08204267182387467,0.07368853370776215,0.06512296062065974,0.06220128616033595,0.0506359556046886,0.046097722286464436,0.09679359482941008,0.08768694315575153,0.07875277772878872,0.0686804193347711,0.05998333101787528,0.05132250968142535,0.04347413023856831,0.03757658845611187,,0.10133607452432722,0.09330058949438637,0.08535221145348257,0.07751773990513397,0.07119691004531026,0.0695485441975603,0.06366317616958801,0.051903757089443926,0.06500769185258003,0.06315061361538778,0.06040695324215582,0.05381449618829484,0.04730750469005949,0.04106093033529562,0.03556683848755748,0.028017851452243805,0.056542019772908715,0.04812483766206386,0.03844476557348218,0.030886890422960975,0.05337602458033008,0.04385202389856139,0.03397057550292606,0.024331050121192882,,,,,0.09726767191621274,0.09198369420718,0.08588364221433555,0.07890500617831546,0.07218032973047435,0.06755738301621815,0.06306346010171024,0.06102458520956943,0.09390953093270141,0.08584287972802404,0.07910752176626444,0.07100704190430693,0.06477653896280659,0.058111960903070546,0.05489080068645382,0.05269724850502159,,,
P08,0.07201388754955529,0.061798058221921415,0.05356304696336831,0.043243496620879215,0.033120990323358385,0.021470910553583886,0.010295630140987002,0.0,0.07300684899377582,0.06401562309311676,0.05457105459856893,0.0453982378512646,0.03402939905434711,0.02420743687382041,0.013928388277184027,0.01095445115010332,0.07606576102294645,0.06682065548915245,0.058326666285670736,0.048641546028061235,0.0398622628559895,0.03014962686336267,0.02238302928559939,0.02073644135332772,0.07938513714795736,0.07119691004531019,0.06320601237224184,0.055497747702046435,0.04650806381693385,0.0377094152699296,0.032388269481403296,0.029495762407505163,0.08283115355951513,0.07449832212875665,0.06886218120274727,0.06213694553162394,0.05459853477887479,0.0464327470649756,0.042272922775696505,0.039974992182613286,0.087965902484997,0.0800812087820857,0.07422937423958255,0.06862215385719105,0.062128898268036276,0.05519057890618651,0.05167204273105525,0.049979995998399196,0.09209234495874234,0.08314445261110329,0.07406078584514209,0.06601514977639603,0.05821511831131154,0.056736231810017135,0.04580392996239509,0.043046486500061765,0.0886171540955813,0.07936623967405788,0.07034202158027589,0.06029096117993144,0.052230259428802384,0.04442971978304609,0.03749666651850535,0.03349626844888845,,0.09648315915225827,0.08789197915623473,0.07940403012442127,0.07105631569396206,0.06403905058634146,0.061619802012015584,0.05509083408335728,0.04402272140611028,0.05917769850205396,0.05721887800367987,0.05412023651093923,0.04701063709417263,0.039749213828703577,0.03268026927673638,0.026095976701399775,0.017916472867168916,0.04763402145525822,0.039673668849754755,0.030789608636681304,0.024859605789312057,0.04382921400162225,0.03436568055487916,0.02501999200639361,0.016309506430300092,,,,,0.09026073343375844,0.08552777326693359,0.0802122185206219,0.07406753674856482,0.06848357467305573,0.06516133823057964,0.06220128616033594,0.06156297588648554,0.08633075929238662,0.07872102641607259,0.0726636084983398,0.0655286197016235,0.06041522986797286,0.05489080068645383,0.05348831648126533,0.053,,,
P09,0.010770329614269138,0.014317821063276349,0.02165640782770766,0.031591137997862624,0.04186884283091657,0.052640288753007344,0.0631347764706583,0.07300684899377582,0.0,0.010198039027185583,0.019798989873223323,0.029068883707497217,0.041352146256270574,0.052057660339281386,0.0629444199274248,0.0715122367151244,0.010954451150103288,0.014456832294800876,0.021908902300206555,0.031780497164141316,0.04104875150354748,0.052640288753007324,0.06269768735766885,0.07292461861401804,0.021307275752662475,0.022649503305812245,0.02927456233660876,0.036851051545376455,0.04561797891182806,0.05565968020030288,0.06615889962809225,0.07513986957667672,0.030675723300355857,0.03168595903550972,0.03720215047547647,0.04189272013130673,0.049406477308142405,0.06011655346075645,0.07051950084905582,0.07894301742396212,0.04091454509095752,0.04248529157249594,0.04562893818619925,0.0507838557023784,0.05707889277132125,0.0657419196555743,0.07452516353554674,0.0816945530620003,0.14825316185498363,0.1408438852062807,0.1323971298782567,0.12398386991863083,0.11344161493913942,0.10442700800080398,0.09578100020358933,0.08760707733967606,0.14531689509482362,0.13780058055030092,0.13034569421350278,0.12129715577869077,0.11132834320154045,0.10089598604503543,0.09330594836343489,0.08488816171881673,,0.13085488145269927,0.12675567048459796,0.12258466462000855,0.1183342722967441,0.11610770861575032,0.11815667564720995,0.11626263372210342,0.1044222198576528,0.10547037498748159,0.10489041900955484,0.10473299384625642,0.10206860437960336,0.0998699153899711,0.09731392500562283,0.09504209593648481,0.08908984229416946,0.11143159336561592,0.10290772565750338,0.09309135298189612,0.08438009243891588,0.11050339361304692,0.10186756107809776,0.09217374897442321,0.08290958931269642,,,,,0.1420176045425354,0.13536986370680876,0.12709838708654006,0.118084715353004,0.10829589096544696,0.09972963451251578,0.09026073343375834,0.08298192574289887,0.14150971698084897,0.132774244490413,0.12433020550131804,0.11408768557561319,0.10504284840006949,0.09615092303249086,0.0874242529278917,0.08006872048434385,,,
P10,0.01562049935181338,0.010440306508910452,0.014177446878757707,0.022847319317591652,0.032695565448543504,0.04339354790749413,0.05401851534427788,0.06401562309311676,0.010198039027185583,0.0,0.00979795897113267,0.01920937271229847,0.03152776554086877,0.042355637169094615,0.05349766350038094,0.06230569797378073,0.01496662954709587,0.010049875621120941,0.0135646599662505,0.02222611077089279,0.03138470965295033,0.0430232495285978,0.05339475629684986,0.06382789358893166,0.023874672772626723,0.020322401432901663,0.023345235059857434,0.029223278392404874,0.03678314831549895,0.04636809247747843,0.05696490147450435,0.06610597552415355,0.0327566787083184,0.030265491900843197,0.03310589071449371,0.03581898937714462,0.04182104733265292,0.05167204273105518,0.06181423784210228,0.07025667228100108,0.042497058721751614,0.04138840417314978,0.04230839160261237,0.04572745346069469,0.05061620293937502,0.05822370651203849,0.06655824516917487,0.07357988855658852,0.14083678496756438,0.1331202463940026,0.1244065914652434,0.1158101895344273,0.10534229919647652,0.09708243919473789,0.08737276463521104,0.07911384202527383,0.13810503249338876,0.13028046668629942,0.12249897958758664,0.11321219015636069,0.10319883720275135,0.0928439551074812,0.08474668135095309,0.07611832893594014,,0.12729100518104167,0.12255202976695234,0.11772425408555355,0.11279627653428978,0.1098590005416032,0.11130588483993095,0.10857716150277631,0.09624967532412759,0.10013990213696024,0.09958915603618686,0.0991816515288991,0.09594790253048774,0.0930698662296233,0.08987769467448514,0.086977008456258,0.08043009387039143,0.1033682736626668,0.09458329662260656,0.08448668534153757,0.07552483035399672,0.10246462804304698,0.09349331526906068,0.08347454701883669,0.07395944834840225,,,,,0.13458454591816987,0.12783192089615164,0.11952405615607252,0.11045361017187252,0.10067770358922565,0.09220629045786402,0.08291561975888492,0.07585512507405144,0.1338245119550225,0.12490396310766114,0.11642164747159343,0.10609429767899865,0.09706698717895793,0.08809653795694802,0.07951729371652425,0.07218725649309571,,,
