,Channel_Name,x_coord,y_coord,z_coord,coil_type,kind,logno,scanno,cal,range,unit,unit_mul,coord_frame
65,vT1,0.017105000000000002,0.043462,-4.2000000000000004e-05,1,902,66,66,1.0,1e-06,107,0,4
66,vT2,0.007105,0.043462,-0.002042,1,902,67,67,1.0,1e-06,107,0,4
67,vT3,-0.002895,0.043462,-0.002042,1,902,68,68,1.0,1e-06,107,0,4
68,vT4,-0.012895,0.043462,-4.2000000000000004e-05,1,902,69,69,1.0,1e-06,107,0,4
69,vT5,-0.022895,0.044462,0.000958,1,902,70,70,1.0,1e-06,107,0,4
70,vT6,-0.030895,0.048462000000000005,0.000958,1,902,71,71,1.0,1e-06,107,0,4
71,vT7,-0.043895,0.049462000000000006,0.004958000000000001,1,902,72,72,1.0,1e-06,107,0,4
72,vT8,-0.051895000000000004,0.040462000000000005,0.014958,1,902,73,73,1.0,1e-06,107,0,4
73,sT1,-0.017895,0.026462,-0.007042,1,902,74,74,1.0,1e-06,107,0,4
74,sT2,-0.020895,0.021462,-0.015042,1,902,75,75,1.0,1e-06,107,0,4
75,sT3,-0.026895,0.018462,-0.021042,1,902,76,76,1.0,1e-06,107,0,4
76,sT4,-0.036895000000000004,0.015462,-0.023042,1,902,77,77,1.0,1e-06,107,0,4
77,sT5,-0.046895000000000006,0.014462,-0.022042000000000003,1,902,78,78,1.0,1e-06,107,0,4
78,sT6,-0.054895000000000006,0.014462,-0.018042000000000002,1,902,79,79,1.0,1e-06,107,0,4
79,sT7,-0.060895000000000005,0.016462,-0.011042,1,902,80,80,1.0,1e-06,107,0,4
80,sT8,-0.064895,0.016462,0.000958,1,902,81,81,1.0,1e-06,107,0,4
81,T01,-0.050895,0.044462,0.004958000000000001,1,902,82,82,1.0,1e-06,107,0,4
82,T02,-0.054895000000000006,0.037462,0.010958,1,902,83,83,1.0,1e-06,107,0,4
83,T03,-0.058895,0.028462,0.015958,1,902,84,84,1.0,1e-06,107,0,4
84,T04,-0.061895000000000006,0.020462,0.020957999999999997,1,902,85,85,1.0,1e-06,107,0,4
85,T05,-0.052895000000000005,0.039462000000000004,-0.004042,1,902,86,86,1.0,1e-06,107,0,4
86,T06,-0.057895,0.032462000000000005,0.001958,1,902,87,87,1.0,1e-06,107,0,4
87,T07,-0.061895000000000006,0.024462,0.008958,1,902,88,88,1.0,1e-06,107,0,4
88,T08,-0.064895,0.015462,0.012958,1,902,89,89,1.0,1e-06,107,0,4
89,ECG+,,,,0,402,90,90,1.0,1e-06,107,0,4
90,R1+,,,,0,502,91,91,1.0,1e-06,107,0,4
91,R2+,,,,0,502,92,92,1.0,1e-06,107,0,4
92,R3+,,,,0,502,93,93,1.0,1e-06,107,0,4
